model_key,mileage,fuel,paint_color,car_type,price,sold_at,model_key_spaceless,model_index_inrange,MPower_yn,highMiles_yn,lowMiles_yn,superHighMiles_yn,fast_yn,condition
420,47902,diesel,black,coupe,30700,2018-05-01,420,420BMW,no,no,yes,no,no,new
640 Gran Coupé,63421,diesel,blue,coupe,45800,2018-05-01,640GranCoupé,640GranCoupéBMW,no,no,yes,no,no,used
430,70880,diesel,blue,coupe,28700,2018-05-01,430,430BMW,no,no,yes,no,no,used
420,174740,diesel,white,coupe,22400,2018-05-01,420,420BMW,no,yes,no,no,no,used
430 Gran Coupé,162327,diesel,black,coupe,23300,2018-05-01,430GranCoupé,430GranCoupéBMW,no,yes,no,no,no,used
420,45299,diesel,brown,coupe,27600,2018-05-01,420,420BMW,no,no,yes,no,no,new
335,268780,petrol,white,coupe,12900,2018-06-01,335,335BMW,no,yes,no,no,no,used
420,61620,diesel,blue,coupe,26800,2018-06-01,420,420BMW,no,no,yes,no,no,used
420,116134,diesel,grey,coupe,21800,2018-06-01,420,420BMW,no,no,no,no,no,used
420,46706,diesel,blue,coupe,24100,2018-06-01,420,420BMW,no,no,yes,no,no,new
320,260217,diesel,grey,coupe,8500,2018-06-01,320,320BMW,no,yes,no,no,no,used
420,143853,diesel,black,coupe,17000,2018-06-01,420,420BMW,no,no,no,no,no,used
420,65008,diesel,white,coupe,24200,2018-06-01,420,420BMW,no,no,yes,no,no,used
320,189137,diesel,grey,coupe,8700,2018-07-01,320,320BMW,no,yes,no,no,no,used
420,140694,diesel,black,coupe,18300,2018-07-01,420,420BMW,no,no,no,no,no,used
320,202363,diesel,black,coupe,7600,2018-07-01,320,320BMW,no,yes,no,no,no,used
325,221500,petrol,grey,coupe,9300,2018-07-01,325,325BMW,no,yes,no,no,no,used
420,47876,diesel,blue,coupe,25000,2018-07-01,420,420BMW,no,no,yes,no,no,new
320,224613,diesel,white,coupe,8900,2018-07-01,320,320BMW,no,yes,no,no,no,used
335,274992,diesel,black,coupe,19000,2018-07-01,335,335BMW,no,yes,no,no,no,used
320,91931,diesel,black,coupe,12500,2018-07-01,320,320BMW,no,no,yes,no,no,used
218,23886,diesel,red,coupe,16700,2018-08-01,218,218BMW,no,no,yes,no,no,new
118,140464,diesel,blue,coupe,8900,2018-08-01,118,118BMW,no,no,no,no,no,used
218,50421,diesel,grey,coupe,17100,2018-08-01,218,218BMW,no,no,yes,no,no,used
640,136545,diesel,black,coupe,29200,2018-08-01,640,640BMW,no,no,no,no,no,used
M3,169970,petrol,grey,coupe,35700,2018-08-01,M3,M3BMW,yes,yes,no,no,yes,used
330,122991,diesel,green,coupe,11300,2018-08-01,330,330BMW,no,no,no,no,no,used
320,102178,petrol,grey,coupe,10700,2018-08-01,320,320BMW,no,no,no,no,no,used
635,173302,diesel,grey,coupe,19300,2018-08-01,635,635BMW,no,yes,no,no,no,used
320,202811,diesel,black,coupe,7700,2018-08-01,320,320BMW,no,yes,no,no,no,used
325,169722,diesel,grey,coupe,8300,2018-08-01,325,325BMW,no,yes,no,no,no,used
320,129338,diesel,blue,coupe,12800,2018-08-01,320,320BMW,no,no,no,no,no,used
320,186950,petrol,grey,coupe,2700,2018-09-01,320,320BMW,no,yes,no,no,no,used
218,34463,diesel,blue,coupe,23800,2018-09-01,218,218BMW,no,no,yes,no,no,new
320,110818,diesel,black,coupe,15000,2018-09-01,320,320BMW,no,no,no,no,no,used
320,200510,diesel,grey,coupe,10900,2018-09-01,320,320BMW,no,yes,no,no,no,used
430 Gran Coupé,161794,diesel,black,coupe,23100,2018-09-01,430GranCoupé,430GranCoupéBMW,no,yes,no,no,no,used
320,227832,diesel,black,estate,5400,2018-01-01,320,320BMW,no,yes,no,no,no,used
318,108245,diesel,brown,estate,11700,2018-01-01,318,318BMW,no,no,no,no,no,used
520,221018,diesel,black,estate,16500,2018-01-01,520,520BMW,no,yes,no,no,no,used
318,101658,diesel,grey,estate,11400,2018-01-01,318,318BMW,no,no,no,no,no,used
320,163181,diesel,grey,estate,8200,2018-01-01,320,320BMW,no,yes,no,no,no,used
320,143180,diesel,black,estate,13100,2018-01-01,320,320BMW,no,no,no,no,no,used
316,146310,diesel,black,estate,7600,2018-04-01,316,316BMW,no,no,no,no,no,used
330,107560,diesel,grey,estate,14500,2018-03-01,330,330BMW,no,no,no,no,no,used
318,78425,diesel,beige,estate,12700,2018-07-01,318,318BMW,no,no,yes,no,no,used
520,95078,diesel,black,estate,21300,2018-03-01,520,520BMW,no,no,yes,no,no,used
520,246424,diesel,black,estate,6000,2018-08-01,520,520BMW,no,yes,no,no,no,used
318,203950,diesel,white,estate,7900,2018-04-01,318,318BMW,no,yes,no,no,no,used
316,158002,diesel,white,estate,8900,2018-04-01,316,316BMW,no,yes,no,no,no,used
318,193476,diesel,silver,estate,6500,2018-04-01,318,318BMW,no,yes,no,no,no,used
316,135119,diesel,white,estate,10900,2018-06-01,316,316BMW,no,no,no,no,no,used
520,199603,diesel,blue,estate,13100,2018-06-01,520,520BMW,no,yes,no,no,no,used
318,41142,diesel,blue,estate,18200,2018-03-01,318,318BMW,no,no,yes,no,no,new
316,46738,diesel,black,estate,14400,2018-02-01,316,316BMW,no,no,yes,no,no,new
316,156627,diesel,blue,estate,9000,2018-09-01,316,316BMW,no,yes,no,no,no,used
318,146338,diesel,black,estate,13300,2018-08-01,318,318BMW,no,no,no,no,no,used
520,270884,diesel,blue,estate,1100,2018-06-01,520,520BMW,no,yes,no,no,no,used
525,175096,diesel,blue,estate,6500,2018-04-01,525,525BMW,no,yes,no,no,no,used
320,155503,diesel,blue,estate,12200,2018-08-01,320,320BMW,no,yes,no,no,no,used
525,134094,diesel,white,estate,15800,2018-04-01,525,525BMW,no,no,no,no,no,used
318,156885,diesel,grey,estate,10200,2018-07-01,318,318BMW,no,yes,no,no,no,used
320,181052,diesel,black,estate,11500,2018-04-01,320,320BMW,no,yes,no,no,no,used
525,106054,diesel,black,estate,18700,2018-03-01,525,525BMW,no,no,no,no,no,used
520,146528,diesel,white,estate,18600,2018-08-01,520,520BMW,no,no,no,no,no,used
320,183403,diesel,grey,estate,11400,2018-05-01,320,320BMW,no,yes,no,no,no,used
316,130852,diesel,white,estate,7700,2018-04-01,316,316BMW,no,no,no,no,no,used
320,186697,diesel,white,estate,2400,2018-04-01,320,320BMW,no,yes,no,no,no,used
320,132746,diesel,white,estate,11900,2018-06-01,320,320BMW,no,no,no,no,no,used
325,90747,diesel,grey,estate,11200,2018-04-01,325,325BMW,no,no,yes,no,no,used
316,145179,diesel,brown,estate,9400,2018-05-01,316,316BMW,no,no,no,no,no,used
320,87171,diesel,silver,estate,18900,2018-03-01,320,320BMW,no,no,yes,no,no,used
320,110212,diesel,black,estate,9000,2018-03-01,320,320BMW,no,no,no,no,no,used
318,11917,diesel,white,estate,23400,2018-05-01,318,318BMW,no,no,yes,no,no,new
318,12508,diesel,white,estate,23700,2018-05-01,318,318BMW,no,no,yes,no,no,new
330,149525,diesel,silver,estate,15400,2018-03-01,330,330BMW,no,no,no,no,no,used
318,122357,diesel,grey,estate,13700,2018-08-01,318,318BMW,no,no,no,no,no,used
318,158853,diesel,black,estate,10900,2018-06-01,318,318BMW,no,yes,no,no,no,used
318,167280,diesel,white,estate,13300,2018-02-01,318,318BMW,no,yes,no,no,no,used
320,69978,diesel,grey,estate,18000,2018-04-01,320,320BMW,no,no,yes,no,no,used
318,105105,diesel,white,estate,6000,2018-03-01,318,318BMW,no,no,no,no,no,used
318,153585,diesel,white,estate,13600,2018-05-01,318,318BMW,no,yes,no,no,no,used
530,156127,diesel,black,estate,17800,2018-06-01,530,530BMW,no,yes,no,no,no,used
320,117722,diesel,black,estate,9200,2018-03-01,320,320BMW,no,no,no,no,no,used
320,236095,diesel,blue,estate,6100,2018-05-01,320,320BMW,no,yes,no,no,no,used
316,142031,diesel,black,estate,13000,2018-05-01,316,316BMW,no,no,no,no,no,used
318,150807,diesel,black,estate,11500,2018-05-01,318,318BMW,no,yes,no,no,no,used
318,185085,diesel,white,estate,9300,2018-04-01,318,318BMW,no,yes,no,no,no,used
320,163879,diesel,grey,estate,8600,2018-06-01,320,320BMW,no,yes,no,no,no,used
530,137744,petrol,black,estate,20200,2018-06-01,530,530BMW,no,no,no,no,no,used
316,94829,diesel,grey,estate,12600,2018-04-01,316,316BMW,no,no,yes,no,no,used
320,58673,diesel,grey,estate,18200,2018-04-01,320,320BMW,no,no,yes,no,no,used
320,183683,diesel,black,estate,1200,2018-04-01,320,320BMW,no,yes,no,no,no,used
320,153236,diesel,blue,estate,11900,2018-06-01,320,320BMW,no,yes,no,no,no,used
318,65933,diesel,white,estate,15100,2018-05-01,318,318BMW,no,no,yes,no,no,used
320,77419,diesel,grey,estate,12000,2018-03-01,320,320BMW,no,no,yes,no,no,used
320,170322,diesel,black,estate,12700,2018-04-01,320,320BMW,no,yes,no,no,no,used
316,83133,diesel,white,estate,14300,2018-04-01,316,316BMW,no,no,yes,no,no,used
320,140324,diesel,silver,estate,7700,2018-03-01,320,320BMW,no,no,no,no,no,used
318,132871,diesel,grey,estate,4300,2018-01-01,318,318BMW,no,no,no,no,no,used
318,109741,diesel,grey,estate,12100,2018-01-01,318,318BMW,no,no,no,no,no,used
320,168016,diesel,red,estate,12100,2018-01-01,320,320BMW,no,yes,no,no,no,used
520,238036,diesel,black,estate,12900,2018-01-01,520,520BMW,no,yes,no,no,no,used
316,147228,diesel,silver,estate,10600,2018-03-01,316,316BMW,no,no,no,no,no,used
530,159659,diesel,black,estate,20200,2018-01-01,530,530BMW,no,yes,no,no,no,used
318,123340,diesel,brown,estate,14200,2018-01-01,318,318BMW,no,no,no,no,no,used
318,168068,diesel,grey,estate,8000,2018-01-01,318,318BMW,no,yes,no,no,no,used
320,163601,diesel,beige,estate,11700,2018-01-01,320,320BMW,no,yes,no,no,no,used
320,149108,diesel,white,estate,11300,2018-01-01,320,320BMW,no,no,no,no,no,used
520,173446,diesel,black,estate,15600,2018-01-01,520,520BMW,no,yes,no,no,no,used
320,197516,diesel,black,estate,10100,2018-01-01,320,320BMW,no,yes,no,no,no,used
318,170832,diesel,blue,estate,10200,2018-06-01,318,318BMW,no,yes,no,no,no,used
320,149085,diesel,black,estate,14900,2018-08-01,320,320BMW,no,no,no,no,no,used
535,255957,diesel,grey,estate,17800,2018-01-01,535,535BMW,no,yes,no,no,no,used
520,175024,diesel,blue,estate,13700,2018-03-01,520,520BMW,no,yes,no,no,no,used
318,132731,diesel,grey,estate,12500,2018-01-01,318,318BMW,no,no,no,no,no,used
525,214691,diesel,black,estate,5100,2018-01-01,525,525BMW,no,yes,no,no,no,used
320,177568,diesel,brown,estate,10200,2018-01-01,320,320BMW,no,yes,no,no,no,used
320,106878,diesel,white,estate,15400,2018-03-01,320,320BMW,no,no,no,no,no,used
318,144727,diesel,white,estate,14300,2018-06-01,318,318BMW,no,no,no,no,no,used
320 Gran Turismo,46731,diesel,blue,estate,11900,2018-03-01,320GranTurismo,320GranTurismoBMW,no,no,yes,no,no,new
318,164900,diesel,silver,estate,7300,2018-01-01,318,318BMW,no,yes,no,no,no,used
318,150002,diesel,red,estate,10700,2018-01-01,318,318BMW,no,yes,no,no,no,used
316,117872,diesel,black,estate,10400,2018-01-01,316,316BMW,no,no,no,no,no,used
320,66314,diesel,white,estate,16100,2018-01-01,320,320BMW,no,no,yes,no,no,used
318,216114,diesel,blue,estate,9900,2018-01-01,318,318BMW,no,yes,no,no,no,used
318,159505,diesel,grey,estate,10000,2018-01-01,318,318BMW,no,yes,no,no,no,used
320,221904,diesel,blue,estate,1200,2018-04-01,320,320BMW,no,yes,no,no,no,used
520,147243,diesel,blue,estate,16300,2018-03-01,520,520BMW,no,no,no,no,no,used
525,140638,diesel,black,estate,17800,2018-03-01,525,525BMW,no,no,no,no,no,used
320,123796,diesel,black,estate,15600,2018-01-01,320,320BMW,no,no,no,no,no,used
316,201102,diesel,black,estate,8800,2018-06-01,316,316BMW,no,yes,no,no,no,used
318,238592,diesel,grey,estate,3900,2018-01-01,318,318BMW,no,yes,no,no,no,used
318,182798,diesel,white,estate,10500,2018-01-01,318,318BMW,no,yes,no,no,no,used
318,116868,diesel,white,estate,13700,2018-01-01,318,318BMW,no,no,no,no,no,used
318,64486,diesel,blue,estate,12400,2018-01-01,318,318BMW,no,no,yes,no,no,used
318,167013,diesel,black,estate,12400,2018-01-01,318,318BMW,no,yes,no,no,no,used
318,319724,diesel,grey,estate,3000,2018-01-01,318,318BMW,no,yes,no,yes,no,used
320,103683,diesel,black,estate,10400,2018-08-01,320,320BMW,no,no,no,no,no,used
320,73416,diesel,blue,estate,16800,2018-01-01,320,320BMW,no,no,yes,no,no,used
520,142724,diesel,black,estate,14800,2018-01-01,520,520BMW,no,no,no,no,no,used
320,127017,diesel,grey,estate,13100,2018-07-01,320,320BMW,no,no,no,no,no,used
320,151391,diesel,grey,estate,15200,2018-01-01,320,320BMW,no,yes,no,no,no,used
520,88985,diesel,grey,estate,18100,2018-01-01,520,520BMW,no,no,yes,no,no,used
320,186684,diesel,brown,estate,11400,2018-03-01,320,320BMW,no,yes,no,no,no,used
520,156756,diesel,black,estate,13700,2018-01-01,520,520BMW,no,yes,no,no,no,used
320,236259,diesel,blue,estate,6400,2018-01-01,320,320BMW,no,yes,no,no,no,used
320,233375,diesel,black,estate,9600,2018-01-01,320,320BMW,no,yes,no,no,no,used
318,195032,diesel,grey,estate,4900,2018-01-01,318,318BMW,no,yes,no,no,no,used
318,228885,diesel,grey,estate,6000,2018-01-01,318,318BMW,no,yes,no,no,no,used
316,214613,diesel,white,estate,8200,2018-03-01,316,316BMW,no,yes,no,no,no,used
318,154190,diesel,black,estate,11300,2018-01-01,318,318BMW,no,yes,no,no,no,used
320,243093,diesel,grey,estate,1400,2018-01-01,320,320BMW,no,yes,no,no,no,used
318,79526,diesel,white,estate,14900,2018-01-01,318,318BMW,no,no,yes,no,no,used
320,169449,diesel,brown,estate,10600,2018-01-01,320,320BMW,no,yes,no,no,no,used
520,157968,diesel,grey,estate,14200,2018-01-01,520,520BMW,no,yes,no,no,no,used
320,161034,diesel,black,estate,15000,2018-07-01,320,320BMW,no,yes,no,no,no,used
318,197704,diesel,brown,estate,9400,2018-03-01,318,318BMW,no,yes,no,no,no,used
316,83268,diesel,brown,estate,12300,2018-01-01,316,316BMW,no,no,yes,no,no,used
320,139999,diesel,blue,estate,15000,2018-03-01,320,320BMW,no,no,no,no,no,used
318,139649,diesel,white,estate,9900,2018-01-01,318,318BMW,no,no,no,no,no,used
320,173160,diesel,grey,estate,13100,2018-01-01,320,320BMW,no,yes,no,no,no,used
318,80340,diesel,grey,estate,13200,2018-09-01,318,318BMW,no,no,yes,no,no,used
535,234787,diesel,black,estate,19200,2018-04-01,535,535BMW,no,yes,no,no,no,used
318,181297,diesel,brown,estate,13200,2018-01-01,318,318BMW,no,yes,no,no,no,used
530,223829,diesel,black,estate,20600,2018-01-01,530,530BMW,no,yes,no,no,no,used
520,163675,diesel,brown,estate,14900,2018-01-01,520,520BMW,no,yes,no,no,no,used
320,110136,diesel,white,estate,17800,2018-01-01,320,320BMW,no,no,no,no,no,used
525,230212,diesel,blue,estate,14200,2018-01-01,525,525BMW,no,yes,no,no,no,used
318,125974,diesel,grey,estate,13800,2018-01-01,318,318BMW,no,no,no,no,no,used
520,93866,diesel,black,estate,20300,2018-01-01,520,520BMW,no,no,yes,no,no,used
535,151555,diesel,blue,estate,22100,2018-01-01,535,535BMW,no,yes,no,no,no,used
520,132522,diesel,black,estate,20800,2018-01-01,520,520BMW,no,no,no,no,no,used
320,150534,diesel,brown,estate,11300,2018-01-01,320,320BMW,no,yes,no,no,no,used
316,194410,diesel,black,estate,8400,2018-01-01,316,316BMW,no,yes,no,no,no,used
318,161581,diesel,blue,estate,12900,2018-01-01,318,318BMW,no,yes,no,no,no,used
320,194748,diesel,black,estate,12000,2018-01-01,320,320BMW,no,yes,no,no,no,used
520,165274,diesel,silver,estate,16400,2018-01-01,520,520BMW,no,yes,no,no,no,used
520,188155,diesel,black,estate,14800,2018-01-01,520,520BMW,no,yes,no,no,no,used
520,130335,diesel,grey,estate,14600,2018-01-01,520,520BMW,no,no,no,no,no,used
535,148738,diesel,grey,estate,28800,2018-01-01,535,535BMW,no,no,no,no,no,used
520,127511,diesel,black,estate,19900,2018-01-01,520,520BMW,no,no,no,no,no,used
530,187176,diesel,black,estate,19800,2018-01-01,530,530BMW,no,yes,no,no,no,used
320,111523,diesel,black,estate,15600,2018-01-01,320,320BMW,no,no,no,no,no,used
525,218341,diesel,grey,estate,5400,2018-01-01,525,525BMW,no,yes,no,no,no,used
530,172496,diesel,black,estate,20000,2018-01-01,530,530BMW,no,yes,no,no,no,used
320,149390,diesel,white,estate,11400,2018-01-01,320,320BMW,no,no,no,no,no,used
320,171848,diesel,black,estate,12700,2018-01-01,320,320BMW,no,yes,no,no,no,used
320,180574,diesel,white,estate,14600,2018-01-01,320,320BMW,no,yes,no,no,no,used
318,243386,diesel,white,estate,7700,2018-01-01,318,318BMW,no,yes,no,no,no,used
530,123622,diesel,black,estate,25500,2018-01-01,530,530BMW,no,no,no,no,no,used
